realtime_start,realtime_end,date,value
2025-02-06,2025-02-06,2004-07-01,1042.501
2025-02-06,2025-02-06,2004-10-01,1045.719
2025-02-06,2025-02-06,2005-01-01,1266.416
2025-02-06,2025-02-06,2005-04-01,1292.727
2025-02-06,2025-02-06,2005-07-01,1339.203
2025-02-06,2025-02-06,2005-10-01,1407.538
2025-02-06,2025-02-06,2006-01-01,1433.381
2025-02-06,2025-02-06,2006-04-01,1472.804
2025-02-06,2025-02-06,2006-07-01,1495.335
2025-02-06,2025-02-06,2006-10-01,1452.347
2025-02-06,2025-02-06,2007-01-01,1384.4
2025-02-06,2025-02-06,2007-04-01,1462.488
2025-02-06,2025-02-06,2007-07-01,1409.668
2025-02-06,2025-02-06,2007-10-01,1432.95
2025-02-06,2025-02-06,2008-01-01,1325.635
2025-02-06,2025-02-06,2008-04-01,1348.013
2025-02-06,2025-02-06,2008-07-01,1284.391
2025-02-06,2025-02-06,2008-10-01,773.27
2025-02-06,2025-02-06,2009-01-01,1125.916
2025-02-06,2025-02-06,2009-04-01,1199.363
2025-02-06,2025-02-06,2009-07-01,1382.393
2025-02-06,2025-02-06,2009-10-01,1499.252
2025-02-06,2025-02-06,2010-01-01,1570.962
2025-02-06,2025-02-06,2010-04-01,1560.78
2025-02-06,2025-02-06,2010-07-01,1646.527
2025-02-06,2025-02-06,2010-10-01,1647.5
2025-02-06,2025-02-06,2011-01-01,1513.837
2025-02-06,2025-02-06,2011-04-01,1580.148
2025-02-06,2025-02-06,2011-07-01,1592.155
2025-02-06,2025-02-06,2011-10-01,1671.585
2025-02-06,2025-02-06,2012-01-01,1936.487
2025-02-06,2025-02-06,2012-04-01,1860.118
2025-02-06,2025-02-06,2012-07-01,1878.552
2025-02-06,2025-02-06,2012-10-01,1847.96
2025-02-06,2025-02-06,2013-01-01,1831.269
2025-02-06,2025-02-06,2013-04-01,1823.848
2025-02-06,2025-02-06,2013-07-01,1862.618
2025-02-06,2025-02-06,2013-10-01,1913.254
2025-02-06,2025-02-06,2014-01-01,1848.159
2025-02-06,2025-02-06,2014-04-01,1952.58
2025-02-06,2025-02-06,2014-07-01,2011.03
2025-02-06,2025-02-06,2014-10-01,1977.683
2025-02-06,2025-02-06,2015-01-01,1877.034
2025-02-06,2025-02-06,2015-04-01,1898.93
2025-02-06,2025-02-06,2015-07-01,1842.986
2025-02-06,2025-02-06,2015-10-01,1746.728
2025-02-06,2025-02-06,2016-01-01,1805.898
2025-02-06,2025-02-06,2016-04-01,1865.417
2025-02-06,2025-02-06,2016-07-01,1857.546
2025-02-06,2025-02-06,2016-10-01,1926.839
2025-02-06,2025-02-06,2017-01-01,2045.666
2025-02-06,2025-02-06,2017-04-01,2019.85
2025-02-06,2025-02-06,2017-07-01,2061.502
2025-02-06,2025-02-06,2017-10-01,1864.83
